"ID","AREA_ID","TUTORIAL_NAME","PUBLISHED","TUTORIAL_OVERVIEW","SETUP_SQL","SETUP_DESCRIPTION","TAGS","CREATED","CREATED_BY","UPDATED","UPDATED_BY","FEATURED"
155044276401612634730144596161551172634,45094612808877964163464134194291729594,"Removing Rows: Databases for Developers","Y","An introduction to how to remove rows from a table using delete and truncate.","create table toys (
  toy_name varchar2(30),
  price    number(4, 2)
);

insert into toys values ('Baby Turtle', 0.01);
insert into toys values ('Miss Snuggles', 0.51);
insert into toys values ('Cuteasaurus', 10.01);
insert into toys values ('Sir Stripypants', 14.03);
insert into toys values ('Purple Ninja', 14.22);

commit;","","delete, truncate",30-AUG-18 09.45.27.282877000 AM,"CHRIS.SAXON@ORACLE.COM",06-JUL-20 02.18.52.892779000 AM,"SHARON.KENNEDY@ORACLE.COM","N"
147831487722688091314985883531165316592,45094612808877964163464134194291729594,"Merge: Databases for Developers","Y","An introduction to how to use merge to do insert-or-update logic.","create table bricks_for_sale (
  colour   varchar2(10),
  shape    varchar2(10),
  price    number(10, 2),
  primary key ( colour, shape )
);

create table purchased_bricks (
  colour   varchar2(10),
  shape    varchar2(10),
  price    number(10, 2),
  primary key ( colour, shape )
);

insert into bricks_for_sale values ( 'red', 'cube', 4.95 );
insert into bricks_for_sale values ( 'blue', 'cube', 7.75 );
insert into bricks_for_sale values ( 'blue', 'pyramid', 9.99 );

commit;","","merge, upsert",22-JUN-18 08.19.43.965119000 AM,"CHRIS.SAXON@ORACLE.COM",26-JUN-18 01.50.40.512466000 PM,"CHRIS.SAXON@ORACLE.COM",""
182241645422959190146194127811898911783,4,"Bulk Processing with PL/SQL","Y","Learn how to make the most of the bulk processing features of PL/SQL: BULK COLLECT and FORALL. Be sure to run the setup code before trying to execute code in the modules. And you can re-run that setup code at any time if you'd like to reset the employees table to its ""original"" state.","create table employees as select * from hr.employees
/","","bulk,forall,performance",17-MAY-19 07.58.00.609054000 PM,"STEVEN.FEUERSTEIN@GMAIL.COM",08-NOV-22 04.02.05.570012000 PM,"SHARON.KENNEDY@ORACLE.COM","N"
66403703756642340425947956952870068,1,"Introduction to SQL","Y","This tutorial provides an introduction to the Structured Query Language (SQL), learn how to create tables with primary keys, columns, constraints, indexes, and foreign keys.","","","create table, create, select, insert, update, delete, drop, drop table, recycle bin, purge",12-OCT-15 08.52.17.426765000 PM,"MICHAEL.HICHWA@ORACLE.COM",28-AUG-18 03.29.00.907611000 AM,"SHARON.KENNEDY@ORACLE.COM","Y"
92094449129961689585393288404949059,1,"Introduction to Sequences","Y","Learn how to create database sequences and how they can be referenced from triggers and within PL/SQL.","","","create sequence",12-OCT-15 08.52.17.426765000 PM,"MICHAEL.HICHWA@ORACLE.COM",12-OCT-15 08.52.17.430174000 PM,"JOELD",""
182256270813904945690820316135841845,4,"PL/SQL Anonymous Blocks","Y","Define blocks of procedural code using PL/SQL.","","","",12-OCT-15 08.52.17.426765000 PM,"MICHAEL.HICHWA@ORACLE.COM",15-SEP-22 05.16.21.234878000 PM,"SHARON.KENNEDY@ORACLE.COM","N"
35011252049457208546674439406966472602,45094612808877964163464134194291729594,"Updating table data","Y","This tutorial demonstrates different variations of the UPDATE statement. It includes examples of basic UPDATE statements, correlated updates, and updating a query.","","","",12-OCT-15 08.52.17.426765000 PM,"PADMAJA.POTINENI@ORACLE.COM",12-OCT-15 08.52.17.430417000 PM,"JOELD",""
83205148911047716319241478701553687837,92046253613466239499853282050038200150,"MATCH_RECOGNIZE - Empty Matches and Unmatched Rows","Y","The aim of this tutorial is to explain the difference between the various row output options within MATC_RECOGNIZE, specifically the EMPTY MATCHES and UNMATCHED ROWS keywords within the ALL ROWS PER MATCH syntax. ","","","PATTERN MATCHING, MATCH_RECOGNIZE,",11-OCT-16 02.51.36.294806000 PM,"KEITH.LAKER@ORACLE.COM",24-APR-17 02.11.53.046657000 PM,"KEITH.LAKER@ORACLE.COM",""
83392487823947840787102120821717075963,92046253613466239499853282050038200150,"MATCH_RECOGNIZE - importance of PARTITION BY and ORDER BY","Y","The aim of this tutorial is to explain the importance of using PARTITION BY and ORDER BY to ensure the correct results are returned and explores how and when predicates are applied.","","","PATTERN MATCHING, MATCH_RECOGNIZE,",13-OCT-16 09.46.28.855551000 AM,"KEITH.LAKER@ORACLE.COM",24-APR-17 02.11.36.187000000 PM,"KEITH.LAKER@ORACLE.COM",""
97399059242426665206102153060921522170,92046253613466239499853282050038200150,"MATCH_RECOGNIZE - What to include in the MEASURES clause ","Y","This tutorial will help you understand why you might get errors such as ORA-904 ""%s: invalid identifier"" or ORA-918 ""column ambiguously defined"" when you try to run a MATCH_RECOGNIZE query.
","","","",24-FEB-17 12.07.59.476992000 PM,"KEITH.LAKER@ORACLE.COM",01-MAR-17 03.43.58.774914000 PM,"KEITH.LAKER@ORACLE.COM",""
117123875509271941312470520788803021948,45094643699731311561437923492705761850,"Creating Tables: Databases for Developers","Y","An introduction to creating tables and the types of these available in Oracle Database.","","","create table",01-SEP-17 08.17.31.192007000 AM,"CHRIS.SAXON@ORACLE.COM",10-AUG-18 03.15.19.934874000 PM,"CHRIS.SAXON@ORACLE.COM",""
117463246204528657365867867361809943103,45094643699731311561437923492705761850,"Columns and Data Types: Databases for Developers","Y","An introduction to the various data types available in Oracle Database. ","","","create table, alter table",04-SEP-17 02.38.30.829079000 PM,"CHRIS.SAXON@ORACLE.COM",10-AUG-18 03.23.48.266291000 PM,"CHRIS.SAXON@ORACLE.COM",""
117675390209390608523249818520886328918,3,"Querying and Filtering Rows: Databases for Developers","Y","An introduction to returning data from tables with select and filtering the results using where. 

Part of the Databases for Developers course on the Oracle Dev Gym.","create table toys (
  toy_name varchar2(100),
  colour   varchar2(10),
  price    number(10, 2)
);

insert into toys values ( 'Sir Stripypants', 'red', 0.01 );
insert into toys values ( 'Miss Smelly_bottom', 'blue', 6.00 );
insert into toys values ( 'Cuteasaurus', 'blue', 17.22 );
insert into toys values ( 'Mr Bunnykins', 'red', 14.22 );
insert into toys values ( 'Baby Turtle', 'green', null );

commit;","","select, where",06-SEP-17 03.16.49.903488000 PM,"CHRIS.SAXON@ORACLE.COM",06-JUL-20 02.21.23.759163000 AM,"SHARON.KENNEDY@ORACLE.COM","N"
85402068267675499952938542872037871601,92046253613466239499853282050038200150,"MATCH_RECOGNIZE - SKIP TO where exactly?","Y","We use the AFTER MATCH SKIP clause to determine the precise point to resume row pattern matching after a non-empty match is found. If you don’t supply an AFTER MATCH SKIP clause then the default is AFTER MATCH SKIP PAST LAST ROW.

Of course there are quite a few options available:","CREATE TABLE ticker (SYMBOL VARCHAR2(10), tstamp DATE, price NUMBER);
BEGIN
INSERT INTO ticker VALUES('ACME', '01-Apr-11', 12);
INSERT INTO ticker VALUES('ACME', '02-Apr-11', 17);
INSERT INTO ticker VALUES('ACME', '03-Apr-11', 19);
INSERT INTO ticker VALUES('ACME', '04-Apr-11', 21);
INSERT INTO ticker VALUES('ACME', '05-Apr-11', 25);
INSERT INTO ticker VALUES('ACME', '06-Apr-11', 12);
INSERT INTO ticker VALUES('ACME', '07-Apr-11', 15);
INSERT INTO ticker VALUES('ACME', '08-Apr-11', 20);
INSERT INTO ticker VALUES('ACME', '09-Apr-11', 24);
INSERT INTO ticker VALUES('ACME', '10-Apr-11', 25);
INSERT INTO ticker VALUES('ACME', '11-Apr-11', 19);
INSERT INTO ticker VALUES('ACME', '12-Apr-11', 15);
INSERT INTO ticker VALUES('ACME', '13-Apr-11', 25);
INSERT INTO ticker VALUES('ACME', '14-Apr-11', 25);
INSERT INTO ticker VALUES('ACME', '15-Apr-11', 14);
INSERT INTO ticker VALUES('ACME', '16-Apr-11', 12);
INSERT INTO ticker VALUES('ACME', '17-Apr-11', 14);
INSERT INTO ticker VALUES('ACME', '18-Apr-11', 24);
INSERT INTO ticker VALUES('ACME', '19-Apr-11', 23);
INSERT INTO ticker VALUES('ACME', '20-Apr-11', 22);

INSERT INTO ticker VALUES('GLOBEX', '01-Apr-11', 11);
INSERT INTO ticker VALUES('GLOBEX', '02-Apr-11', 12);
INSERT INTO ticker VALUES('GLOBEX', '03-Apr-11', 13);
INSERT INTO ticker VALUES('GLOBEX', '04-Apr-11', 12);
INSERT INTO ticker VALUES('GLOBEX', '05-Apr-11', 11);
INSERT INTO ticker VALUES('GLOBEX', '06-Apr-11', 10);
INSERT INTO ticker VALUES('GLOBEX', '07-Apr-11', 9);
INSERT INTO ticker VALUES('GLOBEX', '08-Apr-11', 8);
INSERT INTO ticker VALUES('GLOBEX', '09-Apr-11', 9);
INSERT INTO ticker VALUES('GLOBEX', '10-Apr-11', 9);
INSERT INTO ticker VALUES('GLOBEX', '11-Apr-11', 9);
INSERT INTO ticker VALUES('GLOBEX', '12-Apr-11', 9);
INSERT INTO ticker VALUES('GLOBEX', '13-Apr-11', 10);
INSERT INTO ticker VALUES('GLOBEX', '14-Apr-11', 11);
INSERT INTO ticker VALUES('GLOBEX', '15-Apr-11', 12);
INSERT INTO ticker VALUES('GLOBEX', '16-Apr-11', 11);
INSERT INTO ticker VALUES('GLOBEX', '17-Apr-11', 8);
INSERT INTO ticker VALUES('GLOBEX', '18-Apr-11', 7);
INSERT INTO ticker VALUES('GLOBEX', '19-Apr-11', 5);
INSERT INTO ticker VALUES('GLOBEX', '20-Apr-11', 3);

INSERT INTO ticker VALUES('OSCORP', '01-Apr-11', 22);
INSERT INTO ticker VALUES('OSCORP', '02-Apr-11', 22);
INSERT INTO ticker VALUES('OSCORP', '03-Apr-11', 19);
INSERT INTO ticker VALUES('OSCORP', '04-Apr-11', 18);
INSERT INTO ticker VALUES('OSCORP', '05-Apr-11', 17);
INSERT INTO ticker VALUES('OSCORP', '06-Apr-11', 20);
INSERT INTO ticker VALUES('OSCORP', '07-Apr-11', 17);
INSERT INTO ticker VALUES('OSCORP', '08-Apr-11', 20);
INSERT INTO ticker VALUES('OSCORP', '09-Apr-11', 16);
INSERT INTO ticker VALUES('OSCORP', '10-Apr-11', 15);
INSERT INTO ticker VALUES('OSCORP', '11-Apr-11', 15);
INSERT INTO ticker VALUES('OSCORP', '12-Apr-11', 12);
INSERT INTO ticker VALUES('OSCORP', '13-Apr-11', 11);
INSERT INTO ticker VALUES('OSCORP', '14-Apr-11', 15);
INSERT INTO ticker VALUES('OSCORP', '15-Apr-11', 12);
INSERT INTO ticker VALUES('OSCORP', '16-Apr-11', 16);
INSERT INTO ticker VALUES('OSCORP', '17-Apr-11', 14);
INSERT INTO ticker VALUES('OSCORP', '18-Apr-11', 12);
INSERT INTO ticker VALUES('OSCORP', '19-Apr-11', 11);
INSERT INTO ticker VALUES('OSCORP', '20-Apr-11', 9);

commit;

END;
","","PATTERN MATCHING, MATCH_RECOGNIZE,",01-NOV-16 03.30.13.598249000 PM,"KEITH.LAKER@ORACLE.COM",24-APR-17 02.12.09.729451000 PM,"KEITH.LAKER@ORACLE.COM",""
98773055494155843597266512030175220751,92046253613466239499853282050038200150,"MATCH_RECOGNIZE - Fraud demo for OracleCODE events","Y","This is a simple demo showing how to use SQL pattern matching for fraud analysis. It is part of a presentation for the OracleCODE events program for developers.","","","PATTERN MATCHING, MATCH_RECOGNIZE,",09-MAR-17 03.58.58.536950000 PM,"KEITH.LAKER@ORACLE.COM",10-MAR-17 02.03.51.601017000 PM,"KEITH.LAKER@ORACLE.COM",""
103567330442136148468768570832363109098,92046253613466239499853282050038200150,"Managing strings with MATCH_RECOGNIZE","Y","This tutorial is linked to one of my blog posts""Managing overflows in LISTAGG"" - https://oracle-big-data.blogspot.co.uk/2015/03/managing-overflows-in-listagg.html","","","",24-APR-17 01.48.33.604731000 PM,"KEITH.LAKER@ORACLE.COM",24-APR-17 02.07.20.429840000 PM,"KEITH.LAKER@ORACLE.COM",""
119767479666755979335390994148897767438,92046253613466239499853282050038200150,"JavaOne - Simplified and Fast Fraud Detection using SQL Pattern Matching ","Y","This session demonstrates how, using SQL pattern matching techniques, you can speed up searching for fraudulent events within unstructured data, such as JSON files, compared to using other programming languages. As part of the presentation, a live demo reviews a specific business use case from financial services and provides conceptual simplified SQL to solve an evolving set of business requirements. You’ll see a simple five-step framework for constructing pattern-matching queries, and a live demonstration shows how easy it is to write and amend SQL-based pattern queries, compared to other programming languages.","","","pattern, sql",26-SEP-17 04.14.51.074892000 PM,"KEITH.LAKER@ORACLE.COM",02-OCT-17 03.12.28.802521000 PM,"KEITH.LAKER@ORACLE.COM",""
